0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.24
1,0,0.31428571,0.057142857,0,0.085714286,0,0,0,0,0.028571429,0,0,0.057142857
2,0,0,0,0.40909091,0.045454545,0,0,0,0,0,0,0,0
3,0.2,0,0,0,0,0,0,0,0,0,0,0.4,0
4,0,0,0,0.083333333,0.083333333,0,0.055555556,0,0.36111111,0,0.027777778,0,0
5,0,0,0,0,0,0.13793103,0,0,0,0.10344828,0.13793103,0,0
6,0.13114754,0.098360656,0.032786885,0,0.049180328,0,0.049180328,0.1147541,0,0,0,0,0
7,0,0.014705882,0.19117647,0,0.029411765,0.073529412,0.014705882,0.13235294,0,0,0.044117647,0.014705882,0.014705882
8,0,0,0,0,0,0,0,0,0,0.1,0,0.4,0
9,0,0,0,0,0,0,0.5,0,0,0,0,0,0
10,0,0.125,0,0,0,0,0.125,0,0,0,0,0,0.125
