0,0,0.090909091,0,0.03030303,0.090909091,0,0.21212121,0,0,0,0,0,0.03030303,0
1,0.36363636,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0
2,0.12389381,0,0,0,0.0088495575,0,0,0.017699115,0,0.14159292,0,0.0088495575,0.0088495575,0.18584071
3,0.18181818,0,0,0,0.45454545,0,0,0,0,0,0,0,0,0
4,0,0,0,0.40229885,0.091954023,0,0.045977011,0,0,0,0.068965517,0,0,0
5,0.017857143,0,0,0,0.017857143,0.053571429,0,0,0.16071429,0,0,0,0.375,0
6,0,0.13541667,0,0,0.16666667,0.19791667,0,0,0,0,0,0,0,0
7,0.026666667,0,0.44,0,0,0,0,0,0.013333333,0.066666667,0,0,0,0
8,0,0,0,0,0,0,0,0.56,0,0.02,0,0,0,0
9,0,0.29032258,0,0,0,0.032258065,0.032258065,0.19354839,0.016129032,0,0,0.016129032,0,0
10,0.022727273,0.068181818,0.090909091,0,0,0,0,0,0,0,0,0.36363636,0,0
11,0,0,0,0,0,0,0,0.037037037,0,0.14814815,0.25925926,0.14814815,0,0
12,0,0,0,0.038461538,0,0,0,0,0,0,0.5,0,0,0.11538462
13,0,0,0.25,0,0,0,0.1875,0,0,0,0.0625,0,0,0
14,0,0,0,0,0,0,0,0.4,0.1,0,0,0,0,0
15,0.23684211,0,0,0.026315789,0,0,0.026315789,0,0.078947368,0,0,0,0.28947368,0
16,0,0,0,0.06779661,0,0,0,0,0.050847458,0.016949153,0,0.050847458,0.033898305,0.3220339
17,0.023809524,0,0,0,0,0.023809524,0.071428571,0,0.023809524,0,0.11904762,0.023809524,0.28571429,0
18,0,0,0,0,0,0,0,0,0.66666667,0,0,0,0,0
19,0,0,0.12121212,0,0,0,0,0,0,0,0.39393939,0,0,0
20,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0.36363636,0,0,0,0,0,0,0
22,0,0.33333333,0,0,0,0.2,0,0,0,0,0,0,0,0
23,0,0.2,0,0,0,0.1,0.3,0,0,0,0,0,0,0
24,0,0,0,0,0.038461538,0,0.15384615,0,0.5,0,0,0,0,0
25,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0
26,0.16666667,0,0,0,0,0,0.33333333,0,0,0,0,0,0,0
