0,-Infinity,-Infinity,-Infinity,0.30010459,-Infinity,-0.2595112,-Infinity,0.076961041,0.58778666,-Infinity,-Infinity,0.58778666,0.58778666
-Infinity,0,0.11778304,-Infinity,0.81093022,1.0986123,0.25131443,0.40546511,-Infinity,-Infinity,-Infinity,0.40546511,-Infinity,-Infinity
-Infinity,0.11778304,0,-Infinity,-Infinity,-Infinity,-0.036367644,-Infinity,-Infinity,0.81093022,0.30010459,0.81093022,-Infinity,-Infinity
-Infinity,-Infinity,-Infinity,0,1.2163953,-Infinity,-Infinity,-Infinity,0.99325177,-Infinity,0.99325177,1.5040774,-Infinity,1.5040774
0.30010459,0.81093022,-Infinity,1.2163953,0,0.81093022,-0.036367644,-Infinity,-Infinity,-Infinity,0.30010459,-Infinity,-Infinity,-Infinity
-Infinity,1.0986123,-Infinity,-Infinity,0.81093022,0,-Infinity,-Infinity,0.58778666,-Infinity,-Infinity,-Infinity,1.0986123,-Infinity
-0.2595112,0.25131443,-0.036367644,-Infinity,-0.036367644,-Infinity,0,-Infinity,-0.2595112,-Infinity,-0.2595112,-Infinity,0.25131443,-Infinity
-Infinity,0.40546511,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
0.076961041,-Infinity,-Infinity,0.99325177,-Infinity,0.58778666,-0.2595112,-Infinity,0,-Infinity,-Infinity,0.58778666,1.2809338,0.58778666
0.58778666,-Infinity,0.81093022,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0,0.58778666,1.0986123,-Infinity,1.0986123
-Infinity,-Infinity,0.30010459,0.99325177,0.30010459,-Infinity,-0.2595112,-Infinity,-Infinity,0.58778666,0,0.58778666,0.58778666,0.58778666
-Infinity,0.40546511,0.81093022,1.5040774,-Infinity,-Infinity,-Infinity,-Infinity,0.58778666,1.0986123,0.58778666,0,-Infinity,1.0986123
0.58778666,-Infinity,-Infinity,-Infinity,-Infinity,1.0986123,0.25131443,-Infinity,1.2809338,-Infinity,0.58778666,-Infinity,0,-Infinity
0.58778666,-Infinity,-Infinity,1.5040774,-Infinity,-Infinity,-Infinity,-Infinity,0.58778666,1.0986123,0.58778666,1.0986123,-Infinity,0
