Topic,TokenCount,Words
0,34,"οξυτονητεον πρωτην ενα περισπαστεον αναγον ζῳους δαιτα πενεσθαι οταν αντωνυμιας"
1,34,"εαν στικτεον κοινον εξης μεθειω αθετειται αναγκαιως καιρος συντομον θελει"
2,39,"πρωτον τοιουτο μεταληψις θεα αμφιβολος στιγμη αμφιβολον υποτακτικον αθετουνται μιᾳ"
3,30,"αρθ μηρ μητηρ μοριον μεταληπτεον θησεως ελενης ϊλιακα οινομαος υποστιζεσθαι"
4,30,"επειδηπερ συνθετον αλτ αναστρεπτεον αλοχοιο αρχης ασυνδετος προστα επανω αγεσθαι"
5,44,"λεγει ηρωες δαναοι πεζοτεροι συνθεσει ησαι κυριως δεξασθαι καθηται διομηδης"
6,38,"δυναται επιθετα κυρια επιλεγεται εχειν μενελαος εχθρον γραφηται διαστελουμεν δοσ"
7,20,"κελομαι απαρεμφατα μρα απιθανον πλειονων εξης πολεμιζε μαχου βραχ διαστελλωμεν"
8,43,"διασταλτεον βραχυ θετεον τελος στιχου ονομα επιφερομενον περισπαται διον ακαιρως"
9,42,"στιχοι αθετουνται ηδη εως προς τρεις αστερισκοι παρακεινται ψιλωτεον εργαζεσθαι"
10,34,"σφισιν λογος σφισι αυτοις διηνεκης εναντιουμεθα αναγκῃ προθεσεως σοι ελαβ"
11,42,"απεχθηρω γραπτεον διορθωσεως διπλην αμμωνιος μενεαινων τονον σχετλιη διαστολην δραδεξαμενῳ"
12,33,"προς προθεσις μαχεοιντο αμφι μεμαως ομως προθ πτολεμαιος οποτε γενικῃ"
