0,-Infinity,0.18232156,-0.040821995,0.18232156,-Infinity,-Infinity,-Infinity,-Infinity,0.18232156,0.47000363,0.18232156,-0.040821995
-Infinity,0,-Infinity,0.18232156,-Infinity,-Infinity,1.3862944,0.69314718,0.40546511,-Infinity,-Infinity,0.40546511,-Infinity
0.18232156,-Infinity,0,0.18232156,-Infinity,0.40546511,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.40546511,-Infinity
-0.040821995,0.18232156,0.18232156,0,-Infinity,0.18232156,0.47000363,1.1631508,-0.51082562,0.18232156,-Infinity,-Infinity,-Infinity
0.18232156,-Infinity,-Infinity,-Infinity,0,-Infinity,-Infinity,-Infinity,-Infinity,0.40546511,1.3862944,1.0986123,0.18232156
-Infinity,-Infinity,0.40546511,0.18232156,-Infinity,0,-Infinity,0.69314718,-0.28768207,0.40546511,-Infinity,-Infinity,0.18232156
-Infinity,1.3862944,-Infinity,0.47000363,-Infinity,-Infinity,0,-Infinity,0.69314718,-Infinity,-Infinity,-Infinity,0.47000363
-Infinity,0.69314718,-Infinity,1.1631508,-Infinity,0.69314718,-Infinity,0,0,0.69314718,-Infinity,-Infinity,-Infinity
-Infinity,0.40546511,-Infinity,-0.51082562,-Infinity,-0.28768207,0.69314718,0,0,0.40546511,-Infinity,-0.28768207,-0.51082562
0.18232156,-Infinity,-Infinity,0.18232156,0.40546511,0.40546511,-Infinity,0.69314718,0.40546511,0,-Infinity,0.40546511,0.18232156
0.47000363,-Infinity,-Infinity,-Infinity,1.3862944,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0,0.69314718,0.47000363
0.18232156,0.40546511,0.40546511,-Infinity,1.0986123,-Infinity,-Infinity,-Infinity,-0.28768207,0.40546511,0.69314718,0,-Infinity
-0.040821995,-Infinity,-Infinity,-Infinity,0.18232156,0.18232156,0.47000363,-Infinity,-0.51082562,0.18232156,0.47000363,-Infinity,0
